Alg,N,Time(sec),GFLOPS
ikj2,1400,1.17,4.70
k2ij,1400,0.82,6.68
ki2j,1400,1.22,4.51
kij2,1400,1.19,4.60
ik4j,1400,0.83,6.59
ik8j,1400,0.82,6.68
ik16j,1400,0.86,6.37
ijk_block2,1400,1.60,3.43
ijk_block4,1400,1.61,3.40
ijk_block5,1400,2.05,2.68
ijk_block10,1400,1.49,3.69
ijk_block20,1400,1.60,3.44
ijk_block50,1400,1.97,2.79
ikj_block2,1400,1.70,3.22
ikj_block4,1400,2.28,2.41
ikj_block5,1400,1.78,3.08
ikj_block10,1400,1.17,4.70
ikj_block20,1400,1.13,4.87
ikj_block50,1400,1.61,3.40
k4ij,1400,0.80,6.83
k8ij,1400,0.80,6.87
k16ij,1400,0.84,6.52
ijk,1500,3.88,1.74
ikj,1500,1.44,4.70
jik,1500,3.84,1.76
jki,1500,4.45,1.52
kij,1500,1.98,3.41
kji,1500,4.51,1.50
i2kj,1500,1.13,5.97
ik2j,1500,1.07,6.28
ikj2,1500,1.44,4.67
k2ij,1500,1.03,6.56
ki2j,1500,1.49,4.52
kij2,1500,1.47,4.58
ik4j,1500,1.03,6.54
ik8j,1500,1.01,6.66
ik16j,1500,1.06,6.36
ijk_block2,1500,2.04,3.31
ijk_block4,1500,2.00,3.37
ijk_block5,1500,2.55,2.65
ijk_block10,1500,1.88,3.58
ijk_block20,1500,2.07,3.26
ijk_block50,1500,2.48,2.72
ikj_block2,1500,1.85,3.65
ikj_block4,1500,2.50,2.70
ikj_block5,1500,2.19,3.08
ikj_block10,1500,1.45,4.64
ikj_block20,1500,1.39,4.85
ikj_block50,1500,1.99,3.40
k4ij,1500,0.99,6.85
k8ij,1500,0.98,6.85
k16ij,1500,1.04,6.49
ijk,1600,4.85,1.69
ikj,1600,1.83,4.47
jik,1600,4.68,1.75
jki,1600,5.68,1.44
kij,1600,2.42,3.38
kji,1600,5.76,1.42
i2kj,1600,1.37,5.98
ik2j,1600,1.39,5.91
ikj2,1600,1.80,4.55
k2ij,1600,1.23,6.67
ki2j,1600,1.83,4.47
kij2,1600,1.83,4.47
ik4j,1600,1.30,6.29
ik8j,1600,1.26,6.49
ik16j,1600,1.30,6.28
ijk_block2,1600,2.39,3.42
ijk_block4,1600,2.45,3.34
ijk_block5,1600,3.37,2.43
ijk_block10,1600,2.43,3.38
ijk_block20,1600,2.51,3.26
ijk_block50,1600,2.96,2.77
ikj_block2,1600,2.54,3.22
ikj_block4,1600,3.41,2.40
ikj_block5,1600,2.66,3.08
ikj_block10,1600,1.74,4.71
ikj_block20,1600,1.69,4.86
ikj_block50,1600,2.42,3.38
k4ij,1600,1.21,6.75
k8ij,1600,1.20,6.83
k16ij,1600,1.27,6.44
ijk,1700,6.03,1.63
ikj,1700,2.12,4.63
jik,1700,5.64,1.74
jki,1700,6.81,1.44
kij,1700,2.92,3.37
kji,1700,7.05,1.39
i2kj,1700,1.72,5.72
ik2j,1700,1.51,6.49
ikj2,1700,2.10,4.69
k2ij,1700,1.47,6.68
ki2j,1700,2.19,4.49
kij2,1700,2.16,4.54
ik4j,1700,1.48,6.65
ik8j,1700,1.48,6.65
ik16j,1700,1.59,6.19
ijk_block2,1700,2.86,3.43
ijk_block4,1700,3.04,3.23
ijk_block5,1700,4.48,2.19
ijk_block10,1700,2.95,3.33
ijk_block20,1700,2.99,3.29
ijk_block50,1700,3.54,2.78
ikj_block2,1700,2.68,3.67
ikj_block4,1700,4.09,2.40
ikj_block5,1700,3.19,3.08
ikj_block10,1700,2.08,4.71
ikj_block20,1700,2.02,4.86
ikj_block50,1700,2.91,3.37
k4ij,1700,1.44,6.83
k8ij,1700,1.44,6.83
k16ij,1700,1.51,6.50
ijk,1800,8.21,1.42
ikj,1800,2.69,4.34
jik,1800,6.77,1.72
jki,1800,8.66,1.35
kij,1800,3.58,3.26
kji,1800,9.66,1.21
i2kj,1800,2.08,5.61
ik2j,1800,1.91,6.12
ikj2,1800,2.58,4.52
k2ij,1800,1.77,6.60
ki2j,1800,2.62,4.46
kij2,1800,2.57,4.54
ik4j,1800,1.77,6.58
ik8j,1800,1.75,6.68
ik16j,1800,1.82,6.39
ijk_block2,1800,3.42,3.41
ijk_block4,1800,3.74,3.12
ijk_block5,1800,6.04,1.93
ijk_block10,1800,3.85,3.03
ijk_block20,1800,3.58,3.25
ijk_block50,1800,4.20,2.78
ikj_block2,1800,3.23,3.61
ikj_block4,1800,4.85,2.41
ikj_block5,1800,3.80,3.07
ikj_block10,1800,2.48,4.71
ikj_block20,1800,2.40,4.86
ikj_block50,1800,3.46,3.37
k4ij,1800,1.74,6.69
k8ij,1800,1.71,6.81
k16ij,1800,1.81,6.44
ijk,1900,11.26,1.22
ikj,1900,3.33,4.12
jik,1900,8.21,1.67
jki,1900,11.65,1.18
kij,1900,4.21,3.26
kji,1900,10.90,1.26
i2kj,1900,2.49,5.50
ik2j,1900,2.27,6.03
ikj2,1900,3.13,4.38
k2ij,1900,2.17,6.33
ki2j,1900,3.17,4.32
kij2,1900,3.25,4.22
ik4j,1900,2.14,6.42
ik8j,1900,2.07,6.62
ik16j,1900,2.16,6.35
ijk_block2,1900,4.01,3.42
ijk_block4,1900,4.41,3.11
ijk_block5,1900,7.03,1.95
ijk_block10,1900,4.51,3.04
ijk_block20,1900,4.23,3.24
ijk_block50,1900,4.94,2.78
